Date,Description,Amount,Type,Category
2024-05-16,Set politics all movie.,298.26,debit,Healthcare
2024-06-29,Accept value material recent perform.,215.0,debit,Healthcare
2024-12-21,Brother I no public laugh few.,270.2,debit,Rent
2024-04-29,Tough pull claim forget west necessary.,304.29,debit,Dining
2024-09-15,Popular receive over training stage many.,234.2,debit,Groceries
2025-02-02,Church firm down market machine worry.,1559.6,credit,Income
2024-08-20,Chance people produce security score body success.,2640.76,credit,Income
2025-02-27,Task on lay.,1136.42,credit,Income
2024-09-13,Next fear produce lawyer occur.,474.1,debit,Entertainment
2024-07-18,Third across ability call wonder push age.,4643.53,credit,Income
2024-05-04,Authority against how remain theory clearly.,3609.22,credit,Income
2024-12-08,Speak rate culture several quite contain them.,36.26,debit,Groceries
2024-05-27,Popular nice these contain conference.,215.49,debit,Transportation
2024-04-11,Certain water beat life cell past provide happy.,3368.56,credit,Income
2025-02-19,Character air better trip young south.,116.48,debit,Transportation
2024-10-25,Itself person oil.,349.55,debit,Entertainment
2024-09-23,Place wind rate still TV.,4926.96,credit,Income
2024-09-06,Anything small class data less.,110.71,debit,Rent
2024-07-11,Answer third experience significant behind.,286.79,debit,Healthcare
2024-10-26,Significant also idea our.,84.8,debit,Transportation
2024-08-04,Popular through management fine.,181.67,debit,Dining
2025-03-13,Perform every idea none sit.,3031.57,credit,Income
2024-04-30,Rate citizen goal key very full.,456.82,debit,Entertainment
2024-08-09,City task key generation discussion.,3273.75,credit,Income
2025-03-09,Politics beautiful only trip experience growth.,3561.33,credit,Income
2024-10-31,Among tell you wear feeling far thus.,2163.91,credit,Income
2024-06-29,Land on owner argue much together movie.,1406.84,credit,Income
2024-10-03,Plant unit support side television stage kitchen.,2780.17,credit,Income
2024-10-20,Inside world water probably scene citizen single.,3408.51,credit,Income
2024-05-19,Box meet artist six into alone.,303.95,debit,Transportation
2025-01-29,Blue wife message college outside lose must.,2127.25,credit,Income
2024-08-02,Show book phone lot yes.,1294.82,credit,Income
2024-06-21,Site impact television fund anything enjoy.,32.25,debit,Rent
2024-10-21,Few wife save believe by.,293.81,debit,Healthcare
2024-11-03,Wonder activity her million.,1041.31,credit,Income
2024-08-03,Industry question family attack everybody son offer expert.,402.38,debit,Utilities
2024-04-10,Party you modern either hit foreign.,173.55,debit,Groceries
2024-04-23,Cell skill heavy place development song.,3464.53,credit,Income
2025-02-11,Agent economy into say community young set.,212.68,debit,Groceries
2024-06-01,Simple ten response fund play oil.,99.01,debit,Salary
2025-01-23,The situation win dream plant also much.,316.02,debit,Transportation
2024-09-16,Sense offer leg.,4654.5,credit,Income
2024-07-29,Up week without live.,2954.54,credit,Income
2024-10-23,Model theory rock body.,3038.45,credit,Income
2024-11-04,Ok nature three true culture allow claim.,384.74,debit,Salary
2024-11-25,Kind magazine benefit of major step quickly factor.,3747.0,credit,Income
2024-12-07,Threat do camera run area.,88.39,debit,Transportation
2024-07-13,Rise report design writer will month.,1003.85,credit,Income
2024-08-16,Sign morning off effect group.,155.98,debit,Transportation
2025-01-29,Teacher ground consumer street carry rock significant.,68.26,debit,Groceries
2024-07-08,Real look here upon.,3928.93,credit,Income
2025-01-24,Particularly business simple some design scientist offer.,4828.45,credit,Income
2024-11-29,Collection require can order parent.,4273.91,credit,Income
2025-01-21,Poor few increase yourself.,3786.86,credit,Income
2025-03-01,National in cultural manage along mind point.,328.86,debit,Groceries
2024-10-14,Bag young degree.,4401.67,credit,Income
2024-05-27,Just by trip central.,265.05,debit,Entertainment
2024-10-16,Official minute note student thus nation.,2645.37,credit,Income
2025-01-16,Necessary wall else special road next.,1597.4,credit,Income
2024-10-26,Receive expect employee theory company successful look five.,334.66,debit,Entertainment
2024-12-01,Onto everything something.,3536.06,credit,Income
2024-08-10,Hotel ahead successful usually street address.,225.82,debit,Healthcare
2025-03-05,Day who song some series middle.,148.32,debit,Utilities
2024-07-18,Run TV just ago billion.,4968.06,credit,Income
2024-10-20,Part development check leg.,3227.27,credit,Income
2024-04-06,Offer talk method tell manager.,350.6,debit,Rent
2024-09-16,My case benefit response late himself.,1202.6,credit,Income
2024-08-17,Else factor lawyer child.,52.35,debit,Entertainment
2024-12-09,Site management network time sense.,185.79,debit,Groceries
2024-06-09,Life window why exist parent.,16.6,debit,Healthcare
2025-01-28,Somebody throw see build throw little.,413.95,debit,Transportation
2024-09-04,Reveal never billion student similar truth.,361.81,debit,Groceries
2024-09-07,Room turn hit identify.,156.88,debit,Salary
2024-11-22,Well box value actually.,420.18,debit,Utilities
2024-12-19,Voice lose side century.,1121.69,credit,Income
2024-04-22,Industry site artist term thing truth.,287.26,debit,Rent
2024-05-27,Agreement drug know each pressure interest past.,408.5,debit,Salary
2024-08-20,Difference drug person between shoulder power.,354.0,debit,Transportation
2024-04-28,Perform music line candidate admit capital after.,56.92,debit,Groceries
2024-05-15,Draw near national build before.,4050.99,credit,Income
2024-08-04,Act cut ok entire far indicate.,471.89,debit,Rent
2024-11-03,Performance ground card shoulder become candidate.,3733.36,credit,Income
2024-07-13,Green low crime of speak adult.,3255.55,credit,Income
2024-10-23,Bit into study if.,3056.57,credit,Income
2024-05-08,These structure week.,136.77,debit,Transportation
2024-11-08,Moment half everybody reduce cause much.,452.26,debit,Groceries
2024-06-13,Near up yourself must past.,3244.55,credit,Income
2024-03-26,Forget true day.,158.35,debit,Entertainment
2024-11-11,Throughout than lay student.,4789.5,credit,Income
2024-07-19,Discussion produce condition career offer fund.,1023.96,credit,Income
2024-03-28,Remember doctor single eight.,4326.06,credit,Income
2024-12-13,Will get option break.,1526.54,credit,Income
2025-03-09,Gas rich represent should believe claim measure.,3866.52,credit,Income
2024-10-25,Big pretty today entire.,37.0,debit,Salary
2024-12-08,Laugh oil move note baby technology young.,4903.35,credit,Income
2024-09-01,Find cost wrong special attorney training.,3772.87,credit,Income
2024-04-12,Special management present natural truth.,114.84,debit,Groceries
2024-10-24,Husband open director account move message smile.,410.51,debit,Dining
2024-09-25,Happen yet rate occur dark mean beat great.,3780.74,credit,Income
2025-01-05,Cold unit process close successful specific catch.,341.04,debit,Healthcare
2024-05-08,Check right lose model television else.,244.2,debit,Salary
2024-04-02,Evening word adult.,416.68,debit,Salary
2025-02-13,Compare wrong challenge do.,408.62,debit,Dining
2024-08-23,Although too again nice.,4824.09,credit,Income
2024-06-15,It attack organization step happy.,18.66,debit,Salary
2025-02-13,Anyone suddenly explain throughout out hundred put scientist.,1352.39,credit,Income
2025-01-09,Institution set look book go section.,4678.1,credit,Income
2024-07-25,New provide dream gas attorney finally record.,184.48,debit,Transportation
2024-04-04,Region amount worry quickly land less camera.,380.79,debit,Utilities
2024-05-28,Entire market evening call general require suffer service.,2255.28,credit,Income
2025-02-28,Bank task sense wrong.,1318.31,credit,Income
2024-12-31,Sea hit open.,4932.27,credit,Income
2024-08-05,Father clear soldier answer reach.,140.4,debit,Dining
2024-11-20,A dream add whom.,1349.65,credit,Income
2025-02-19,Power accept week once again street.,321.97,debit,Dining
2024-04-21,Just toward defense learn here company.,2022.54,credit,Income
2024-07-03,Number to professional.,296.66,debit,Transportation
2024-05-14,Source sometimes guy plan exist enough teach.,121.52,debit,Groceries
2024-10-22,Oil own career matter force last.,2010.6,credit,Income
2024-07-23,Throw recent oil work.,367.22,debit,Rent
2024-12-30,Exist those exist brother daughter near live.,87.13,debit,Salary
2024-04-30,Five one appear bag according.,350.44,debit,Rent
2024-06-26,National position least meet.,1803.51,credit,Income
2024-08-09,Social according summer must.,3728.83,credit,Income
2024-10-14,Product remember large government possible little evidence.,4906.49,credit,Income
2024-04-23,Very race ready role.,3291.76,credit,Income
2024-10-26,Enter recognize relate firm politics pay without.,3421.35,credit,Income
2024-07-23,Institution manager check nation level fear admit little.,364.73,debit,Transportation
2024-11-10,Save man peace fill.,3792.48,credit,Income
2024-09-16,Spring admit attack us.,214.51,debit,Salary
2024-07-05,Charge free enjoy city water security marriage threat.,1925.3,credit,Income
2025-03-02,President that yourself.,153.28,debit,Transportation
2025-02-27,Must beat military.,162.69,debit,Dining
2025-01-30,Find to billion.,273.98,debit,Entertainment
2024-05-08,Buy under actually serve city ago enter.,306.48,debit,Healthcare
2024-07-31,Actually form oil baby church.,3994.22,credit,Income
2024-09-03,Miss hope kind source through any woman.,355.4,debit,Salary
2024-05-26,Wear nice let local debate face real.,148.39,debit,Entertainment
2024-07-24,Science training on morning long.,68.19,debit,Transportation
2024-05-17,National grow place fish within.,435.84,debit,Transportation
2024-05-30,Detail shake true especially language above.,2750.88,credit,Income
2024-07-14,Heavy just growth leader.,296.17,debit,Entertainment
2024-11-03,Nearly exist despite bed.,151.37,debit,Utilities
2024-05-20,Board floor institution call section yard beautiful.,1378.81,credit,Income
2024-09-18,Issue either man risk sell fund pressure firm.,4449.7,credit,Income
2024-09-24,Speak year five citizen culture.,28.26,debit,Rent
2024-04-17,Operation night job.,4342.9,credit,Income
2024-06-09,Red just they ground score concern.,27.06,debit,Salary
2024-12-24,Must early example heavy evidence.,1401.51,credit,Income
2024-09-18,Keep card act side theory identify want.,325.85,debit,Rent
2024-11-19,Television team him perform.,1915.27,credit,Income
2025-01-22,After score hear past policy approach.,226.79,debit,Rent
2024-09-21,Agree because issue term support specific.,38.56,debit,Utilities
2024-07-26,International focus remain standard age response close.,3170.21,credit,Income
2024-08-27,Admit month it fly girl.,1875.52,credit,Income
2024-04-28,Speech increase play soldier sort organization reach.,1956.2,credit,Income
2024-09-20,Reality contain risk describe wear American forget around.,128.25,debit,Entertainment
2024-05-18,Also factor leader need town husband.,1814.89,credit,Income
2024-11-08,Pick five require argue bag different.,2584.66,credit,Income
2024-09-04,Last remain play check herself.,4124.91,credit,Income
2024-10-16,Stock task answer recognize present walk four.,4069.98,credit,Income
2024-10-06,Tonight and enough music gas soldier despite.,4268.96,credit,Income
2024-10-08,During enough meeting away time clear.,404.73,debit,Transportation
2024-09-26,See despite send book interesting card.,4282.93,credit,Income
2024-10-07,Close yes morning news necessary information.,3820.58,credit,Income
2024-12-11,Reveal war sign general.,419.86,debit,Dining
2024-12-12,Nice fund generation.,2347.48,credit,Income
2024-11-29,Street fight source when structure.,1556.77,credit,Income
2024-12-14,Act today beat rest.,2982.4,credit,Income
2024-12-08,Long player real power group course accept.,458.08,debit,Rent
2025-02-18,Season talk rest physical.,67.36,debit,Entertainment
2024-10-28,I discussion claim prevent while particular step seat.,483.02,debit,Dining
2025-02-28,Not half prevent fight operation mention.,4088.89,credit,Income
2025-01-30,Probably job nothing voice.,228.51,debit,Utilities
2024-06-08,Far will scientist world family.,47.51,debit,Healthcare
2024-10-05,Receive goal key.,287.7,debit,Utilities
2024-05-22,Congress amount I total simple where herself into.,289.25,debit,Salary
2025-02-07,Forward interest specific check he not.,97.59,debit,Transportation
2024-08-23,Politics I recently still game evening television.,3966.42,credit,Income
2024-10-19,Home player carry thousand.,393.08,debit,Dining
2024-12-22,Bill week enough writer arrive reality focus.,3549.66,credit,Income
2024-08-15,What Mr same likely present responsibility detail.,247.95,debit,Salary
2024-06-04,Month research technology industry them body say follow.,2603.43,credit,Income
2024-03-27,Store between require need.,3989.59,credit,Income
2024-05-05,Thus against read attorney between.,448.15,debit,Entertainment
2024-12-02,Without whom seem begin tax ground.,416.49,debit,Groceries
2024-11-08,Apply nature prove material recently family.,4410.98,credit,Income
2024-07-02,Law situation example system understand career.,1413.78,credit,Income
2024-09-06,Nothing against let ask investment cut determine.,3816.18,credit,Income
2025-01-26,Scientist international traditional them leg until money.,446.34,debit,Transportation
2024-04-02,Science beautiful out.,3994.31,credit,Income
2024-06-09,Approach reduce now.,3213.96,credit,Income
2024-07-11,Difficult production since.,2951.12,credit,Income
2024-09-17,Above ten Republican trip.,38.63,debit,Utilities
2025-02-22,Join suggest responsibility economic family.,322.21,debit,Utilities
2024-04-13,Store tell close head win Congress official.,2727.95,credit,Income
2024-11-13,Establish animal federal environment short could gun under.,2651.7,credit,Income
2025-01-05,Finish green idea pressure floor she.,251.24,debit,Entertainment
2024-08-18,Charge little sea fill share consider again.,1848.84,credit,Income
2024-07-27,Reach answer recently market.,1532.76,credit,Income
2024-08-29,Friend sound check.,4509.38,credit,Income
2024-12-09,Stand seven choice life.,4118.62,credit,Income
2024-04-29,Any kid through result great of assume.,191.86,debit,Dining
2024-06-19,Realize student along everyone avoid them.,1419.81,credit,Income
2025-02-11,Everyone it better bill.,4568.79,credit,Income
2024-04-09,Reach everyone stock other indicate.,1232.62,credit,Income
2025-01-27,Similar organization foot gas or move.,1573.02,credit,Income
2024-07-07,Sister successful cause worry.,2579.44,credit,Income
2024-03-28,High cold body woman enjoy particularly.,456.48,debit,Rent
2025-02-05,International commercial expert community strategy local.,104.35,debit,Rent
2024-09-25,Foot technology also practice president real attorney.,198.64,debit,Utilities
2024-08-03,Police continue past certain state agency into leave.,291.86,debit,Transportation
2025-01-13,Face reach one throw miss end.,369.42,debit,Utilities
2024-08-28,Ever war wide write act reach ball professional.,3019.39,credit,Income
2025-03-06,Room none against agreement.,2272.37,credit,Income
2024-09-06,Cost us trade officer not between.,2546.31,credit,Income
2024-08-31,Perhaps face blood player late.,2121.49,credit,Income
2025-02-05,Structure throw culture paper yes six brother.,166.11,debit,Dining
2025-01-01,Magazine relate weight water.,57.94,debit,Groceries
2024-05-14,Or go off job.,4397.98,credit,Income
2024-08-13,For also sea wide.,26.25,debit,Dining
2024-10-28,Air south despite inside.,1070.23,credit,Income
2024-10-28,Others single teacher present college.,32.85,debit,Rent
2025-01-25,Trip color significant career.,463.96,debit,Entertainment
2024-10-02,No player office particularly memory similar.,256.94,debit,Dining
2024-07-05,Dog find into toward improve condition.,93.92,debit,Entertainment
2024-07-24,Total meet determine hit because.,2794.14,credit,Income
2024-08-03,Pm it truth letter face.,2662.01,credit,Income
2024-07-27,Result tend culture all though high window.,360.77,debit,Transportation
2024-08-26,Even glass never than ball.,2569.31,credit,Income
2024-10-04,Gas kid wall.,222.04,debit,Rent
2024-04-26,Collection rock difficult feel say note.,238.91,debit,Salary
2024-08-14,Remember chair live reveal interest reflect here difference.,2083.49,credit,Income
2024-11-10,Lot trial rock.,205.35,debit,Dining
2024-05-13,Already foot recognize hotel particular.,3628.86,credit,Income
2024-10-28,Relate act despite.,3507.55,credit,Income
2024-06-14,Carry long sing amount pull western.,462.82,debit,Salary
2024-09-24,Challenge plan police social customer produce ago.,1299.88,credit,Income
2024-12-12,Message treatment often.,2460.04,credit,Income
2025-01-30,Newspaper huge political.,4033.63,credit,Income
2024-11-23,Financial risk send official.,1632.33,credit,Income
2024-06-15,Up cut the serious.,2475.36,credit,Income
2025-02-26,Performance control officer everyone major too.,4218.64,credit,Income
2025-03-06,Who figure shoulder matter music wear.,3660.13,credit,Income
2025-01-17,Bad public down prove.,4184.65,credit,Income
2024-04-04,Subject edge art task sit religious season.,4966.05,credit,Income
2025-01-29,Issue step threat assume unit better race.,2680.1,credit,Income
2024-07-26,Skill rest idea me little season college place.,1057.98,credit,Income
2024-11-19,Approach bar enjoy debate happen early.,4753.74,credit,Income
2024-05-14,Member art challenge art relate.,2227.87,credit,Income
2025-01-20,Detail story society go argue.,2733.78,credit,Income
2024-09-29,Although drop compare because product charge.,1011.08,credit,Income
2024-07-01,Understand ahead prevent my.,4004.48,credit,Income
2024-04-16,Blood term maintain serve avoid.,2341.45,credit,Income
2024-11-01,Boy measure budget compare call early nothing.,387.62,debit,Groceries
2024-06-27,They defense difficult if class test goal.,103.95,debit,Salary
2024-08-28,Ok data player area right protect west.,151.68,debit,Entertainment
2024-08-23,Goal must now certainly born return identify.,1409.54,credit,Income
2024-05-21,Anything project house we book race exactly character.,279.44,debit,Entertainment
2024-12-15,Include relate north media.,4803.4,credit,Income
2024-04-12,Design speech present American result Mr.,440.98,debit,Utilities
2024-09-23,Trial meeting exactly international.,2569.66,credit,Income
2024-04-19,For question you girl decision also.,410.8,debit,Salary
2024-10-12,Tree center set body.,2447.3,credit,Income
2024-11-04,Increase war science civil result probably.,61.38,debit,Entertainment
2025-02-16,Somebody draw issue sell strong economic.,3769.25,credit,Income
2024-11-23,Build week remain peace foot mouth process.,2472.48,credit,Income
2024-07-12,Radio business use recently rich race.,461.49,debit,Healthcare
2025-01-27,Rise now none first south happy pressure high.,3149.8,credit,Income
2024-09-14,Manage hotel instead.,321.68,debit,Utilities
2024-04-11,Physical activity future between continue.,3345.94,credit,Income
2024-03-22,Teacher they series least.,3724.05,credit,Income
2024-12-18,Specific I red.,4741.02,credit,Income
2025-03-07,Attention perhaps garden effect usually quality their.,1144.04,credit,Income
2025-01-03,Opportunity state art tonight collection white chance police.,16.22,debit,Groceries
2024-09-26,Class story enough already executive voice.,318.66,debit,Utilities
2024-09-16,Military magazine brother.,2114.8,credit,Income
2024-12-25,Attention age represent enjoy.,3823.32,credit,Income
2024-12-23,Form sister see relationship.,2470.17,credit,Income
2024-11-27,Seat available picture even edge hand young his.,296.13,debit,Transportation
2024-09-19,Follow opportunity station everyone song whatever.,428.62,debit,Dining
2024-07-01,Popular worker less us.,4125.45,credit,Income
2024-07-13,Building available free gas event hour hour.,3306.12,credit,Income
2024-11-10,Series school join almost loss yet.,3849.87,credit,Income
2024-10-24,Focus analysis scene half speak few.,1466.89,credit,Income
2024-04-09,Figure tax question suddenly newspaper return class job.,3798.06,credit,Income
2024-05-08,Rest history pattern special.,24.25,debit,Utilities
2025-01-25,Reflect attack goal social.,497.4,debit,Healthcare
2024-04-28,Police happen include bring.,383.84,debit,Utilities
2024-08-02,Side provide western dark away word dream.,1717.83,credit,Income
2024-10-19,Price evidence speak still sort.,2085.06,credit,Income
2024-10-28,How clear keep ten impact tell.,389.3,debit,Healthcare
2024-09-28,Conference movement picture trial nation.,1663.79,credit,Income
2025-03-19,Market improve one guess like question real.,410.24,debit,Dining
2024-08-17,Walk seven family happy vote policy before.,4123.85,credit,Income
2024-06-20,Discover north some.,151.03,debit,Salary
2024-11-21,Month knowledge give run.,3448.24,credit,Income
2025-01-09,Hair visit program experience.,3816.43,credit,Income
2024-10-18,Available skill nothing stand.,388.48,debit,Utilities
2024-12-17,Her do instead like wife indicate.,2262.51,credit,Income
2024-12-01,Doctor alone none travel wonder drop.,4547.61,credit,Income
2025-03-06,Try customer population year also.,3252.41,credit,Income
2024-08-20,Single rather firm single statement.,3955.07,credit,Income
2024-08-06,Tree you father soon leg.,3893.89,credit,Income
2024-12-03,Recent body sign pay.,67.03,debit,Healthcare
2025-01-11,Fish another attack project majority else again.,3887.21,credit,Income
2024-08-02,Recognize simply record senior economy.,109.99,debit,Rent
2024-09-20,Single maybe physical country.,245.12,debit,Transportation
2025-02-01,This benefit score ask.,1445.26,credit,Income
2024-03-21,Past family yourself continue.,52.65,debit,Healthcare
2024-12-15,Its she cultural quickly their.,3966.7,credit,Income
2024-08-15,Clear bar other room.,2332.98,credit,Income
2024-08-21,Dog past before although care maybe federal sound.,196.57,debit,Rent
2024-04-16,Improve feeling break apply large remain.,62.77,debit,Groceries
2024-09-26,Level reflect into very.,3475.97,credit,Income
2024-07-27,Value health consider night concern after.,303.76,debit,Transportation
2024-05-21,Important break state fight.,2210.29,credit,Income
2024-04-20,Stuff player color fill under.,3983.16,credit,Income
2024-08-14,Stage tell explain success population.,215.77,debit,Transportation
2025-01-10,By side could chair total three race.,4731.02,credit,Income
2024-11-24,Them reality concern number.,254.53,debit,Dining
2024-06-17,Brother research high assume model go.,3681.23,credit,Income
2025-01-02,Body kind treat deep think off often.,425.8,debit,Groceries
2024-04-01,Career realize by.,2447.88,credit,Income
2024-06-15,Send prepare weight institution tend traditional.,4778.41,credit,Income
2024-04-20,Environmental police factor wrong wrong.,59.62,debit,Transportation
2024-05-05,Around among eye during.,4815.68,credit,Income
2024-08-27,Nation amount nearly something feeling rise commercial.,3163.85,credit,Income
2024-06-23,Pressure husband home season.,138.14,debit,Dining
2024-10-31,Pay figure season pull.,272.17,debit,Transportation
2024-05-19,Report according particular know media partner official.,36.32,debit,Transportation
2024-07-28,Director charge security.,269.34,debit,Salary
2025-02-06,Something military positive at smile phone.,3525.72,credit,Income
2024-12-26,Financial structure third.,298.32,debit,Healthcare
2025-01-15,Morning sport past his onto today.,2860.77,credit,Income
2025-02-11,However fish make court should since.,3927.55,credit,Income
2024-10-15,Structure total then rich seek model myself brother.,186.79,debit,Entertainment
2025-02-12,Benefit building let sea partner I.,4321.57,credit,Income
2024-09-12,Every direction several food.,3813.15,credit,Income
2025-02-25,First structure cut.,4833.8,credit,Income
2024-08-20,Despite letter wear cause magazine serve.,4037.93,credit,Income
2024-03-25,No social require born.,1277.79,credit,Income
2024-12-11,Herself collection want career perhaps.,2385.99,credit,Income
2024-05-05,Main why factor now.,2772.64,credit,Income
2025-01-03,Eight light rate eight.,1610.32,credit,Income
2024-03-31,Along police science game.,235.98,debit,Salary
2024-09-27,Hard imagine public writer send.,1804.03,credit,Income
2024-12-07,Middle cultural by or current middle of.,470.94,debit,Utilities
2024-09-05,Price rest house author.,2172.29,credit,Income
2024-04-12,Happen act every.,487.34,debit,Healthcare
2025-01-01,Agree seat right hundred.,444.27,debit,Utilities
2025-02-18,Support expert onto simply wonder.,3978.64,credit,Income
2025-01-21,Quality drug answer almost poor.,294.82,debit,Dining
2025-02-04,Film through make bag number yourself.,352.77,debit,Transportation
2024-08-13,Economic north artist seat resource.,4432.62,credit,Income
2024-04-20,Response read recognize true go amount own fund.,439.08,debit,Dining
2024-10-14,Family inside plant young area paper.,2045.94,credit,Income
2025-02-08,Example radio suddenly student bill believe.,236.74,debit,Utilities
2024-10-27,Popular head far partner garden glass use child.,2918.29,credit,Income
2024-06-14,His behind series city career star.,3091.9,credit,Income
2024-03-31,Environment entire compare right success shoulder.,392.72,debit,Utilities
2024-04-03,Report picture organization class walk.,190.21,debit,Healthcare
2024-12-25,Husband heart number house much central agree.,1859.53,credit,Income
2024-04-21,Central behavior spend science happen bank.,262.95,debit,Entertainment
2024-12-22,Let everybody yes.,3704.9,credit,Income
2025-03-17,Member race among cultural.,1028.46,credit,Income
2024-06-19,Light seat about thank new.,322.56,debit,Healthcare
2024-06-01,Quickly finally big next indeed blood bring.,1506.04,credit,Income
2024-12-16,Everybody outside expect party table ok.,1068.73,credit,Income
2025-01-30,Consumer soldier read director defense whether early.,18.39,debit,Salary
2024-11-09,Look could allow pay away.,4424.42,credit,Income
2024-12-28,Soon sport concern total player model them turn.,274.75,debit,Salary
2024-04-06,About federal prevent fish seek know glass also.,2494.46,credit,Income
2024-10-02,Past series less majority think image size.,3192.04,credit,Income
2024-06-15,Contain from great interview teach every economy.,465.51,debit,Groceries
2024-12-27,Return food matter.,344.54,debit,Rent
2024-06-09,Relationship notice fly them establish decision.,3272.67,credit,Income
2025-02-24,Your official rest raise free live available television.,1894.39,credit,Income
2024-09-28,Source want fish.,1081.65,credit,Income
2025-01-03,East subject number support single office.,124.93,debit,Healthcare
2025-03-20,Top bit maintain late consumer support scientist.,3494.42,credit,Income
2024-07-07,Newspaper serve yet never account future.,1213.56,credit,Income
2024-07-18,Space international direction small some.,273.7,debit,Groceries
2025-03-20,Election letter reach brother.,344.57,debit,Healthcare
2024-09-02,Tax guy over visit soldier enough begin.,121.51,debit,Dining
2024-08-13,Kid couple rock or western foot movement.,4359.22,credit,Income
2024-08-25,Cover notice decide significant mother hard.,175.8,debit,Dining
2024-08-21,Him national community feel almost peace.,1740.4,credit,Income
2024-05-20,Stay manager return shake court cut affect.,4959.76,credit,Income
2024-06-28,Fast them goal far effect.,3980.87,credit,Income
2025-03-10,Would he well your.,367.77,debit,Dining
2024-05-11,Provide economy machine everybody.,4785.76,credit,Income
2024-07-24,Positive full natural who.,425.5,debit,Salary
2024-03-26,Traditional alone detail million them too.,3395.18,credit,Income
2024-09-12,Scientist learn high do ability.,467.24,debit,Utilities
2024-07-10,Bag design run.,2426.68,credit,Income
2024-08-30,Local later much experience.,1341.61,credit,Income
2025-03-16,Decade use single reality particularly bar owner.,3686.42,credit,Income
2024-06-03,Director say identify treatment young staff page.,359.9,debit,Entertainment
2025-01-19,Seat challenge reflect prevent.,1909.93,credit,Income
2024-07-20,Guess piece style end third offer.,3966.79,credit,Income
2024-04-08,Behavior former party show agent.,352.51,debit,Utilities
2024-12-07,Theory sit tell recognize ago kind.,2405.66,credit,Income
2024-10-20,Especially dream again capital bag.,3867.25,credit,Income
2024-07-04,Ok miss ball institution game.,1119.5,credit,Income
2024-03-22,Practice relationship also have.,2315.97,credit,Income
2024-09-11,Still full nothing car word campaign above.,1265.71,credit,Income
2025-02-01,Top light since poor you general adult.,174.08,debit,Dining
2024-03-27,National office already discover thus.,99.14,debit,Entertainment
2024-05-03,Official often beautiful machine phone research.,448.39,debit,Groceries
2024-04-08,Establish discover kind bed can camera.,240.91,debit,Rent
2025-02-06,Job time before quite store run tough.,2588.23,credit,Income
2024-11-21,Reveal improve similar care practice.,1864.24,credit,Income
2025-02-12,Hospital something argue along consumer hundred environment.,2536.98,credit,Income
2024-08-24,Entire include care team discover turn.,4252.45,credit,Income
2025-03-16,Staff record low event.,364.46,debit,Entertainment
2024-12-04,Buy choose something foreign number.,3011.51,credit,Income
2024-08-05,Bring nation to life.,360.7,debit,Utilities
2024-06-13,About down all world reason during which.,4623.59,credit,Income
2024-08-30,Near enjoy character establish trip.,3139.77,credit,Income
2024-11-04,Talk look high stock force raise.,2471.8,credit,Income
2024-06-04,Race statement she occur good smile sure.,3879.38,credit,Income
2025-02-08,Agree usually lose catch.,3486.23,credit,Income
2025-02-11,General away think thousand foreign.,174.53,debit,Healthcare
2024-03-31,Food agency issue up leader south.,467.43,debit,Groceries
2024-06-07,Education street nor former mind.,2297.37,credit,Income
2025-02-03,Impact sound face although.,380.38,debit,Dining
2025-03-05,Others important push this great.,108.47,debit,Healthcare
2025-01-25,Plan professor important.,138.11,debit,Groceries
2024-05-17,Opportunity difficult action also establish PM modern.,498.18,debit,Salary
2025-01-20,One how experience represent.,2802.5,credit,Income
2024-06-19,Fill now pretty five.,37.51,debit,Healthcare
2024-07-24,Arm if across billion better cut care right.,401.02,debit,Utilities
2024-10-21,Its forget control country us value.,198.8,debit,Salary
2024-07-10,Budget him must whether shoulder cold this.,342.01,debit,Groceries
2024-07-06,Science building my though exist.,312.12,debit,Utilities
2024-09-17,Somebody future responsibility fear draw population pick.,449.92,debit,Groceries
2025-01-30,City player cost worry effect nature.,205.64,debit,Healthcare
2024-05-07,Government section computer still relate human.,3828.7,credit,Income
2024-04-27,Commercial that society around summer speech design.,3247.19,credit,Income
2024-11-19,Their education question floor quite speech final.,3175.04,credit,Income
2025-02-09,Card pretty summer TV order.,21.22,debit,Dining
2025-02-18,Sign early whole change population different full eight.,62.36,debit,Groceries
2024-08-01,Sign pass indicate live Mr pressure white.,4940.41,credit,Income
2024-04-28,Strategy bill ground compare seat.,4511.13,credit,Income
2024-07-19,Forward war scene serve organization evidence.,4057.58,credit,Income
2024-05-10,Born improve more his difficult party new.,38.19,debit,Entertainment
2024-10-16,Poor machine stage safe else left.,3487.03,credit,Income
2024-05-25,Short ability throw my inside success impact.,371.45,debit,Transportation
2024-07-26,Play science report hundred lay.,48.16,debit,Rent
2024-11-30,Camera others hear wall stand to Republican just.,357.38,debit,Rent
2024-05-21,Support letter over near main.,108.53,debit,Salary
2025-03-02,Around political some food you something quality.,2461.31,credit,Income
2024-04-15,That consumer visit cover anything national.,3194.22,credit,Income
2025-02-24,List country thing.,301.21,debit,Rent
2025-03-02,Continue much trip player political wait.,402.78,debit,Groceries
2024-07-31,Majority law usually clearly especially reflect interview.,251.59,debit,Healthcare
2024-11-01,Get maybe current second.,481.69,debit,Rent
2025-01-24,House card citizen affect play write safe.,310.71,debit,Rent
2025-01-19,Research common try together.,2639.49,credit,Income
2024-08-22,Painting decide ever main American.,185.56,debit,Transportation
